_id,RcnNormCR,RusStarCR,RkrStarCR,RcnStarCR,stage,valid,date,totalTime,studyTime,recogTime,genderTarget,gender,age,cnStarFamiliar,krStarFamiliar,usStarFamiliar,cnNormFamiliar,cnStarMeanRT,krStarMeanRT,cnNormMeanRT,usStarMeanRT,cnStarCorrectRate,krStarCorrectRate,cnNormCorrectRate,usStarCorrectRate,cnStarStdRT,krStarStdRT,cnNormStdRT,usStarStdRT,device-width,device-height,device-min
6646f83c2946fc46b57808fe,0.4697,0.4167,0.5417,0.2313,有效数据,有效数据,2024/5/17 14:24:59,560497,,139337,女,女,20,3,0,0,6,1126.0417,1501.625,2142.625,1035.4167,0.3333,0.5417,0.5417,0.4167,408.0819,558.224,1150.2873,430.9618,390,844,390
664700e46947212793b34029,0.839,0.7813,0.677,0.7543,有效数据,有效数据,2024/5/17 15:01:55,505678,71702,98729,女,女,18,6,6,2,3,1220.5417,1056.1667,909.4583,927.5417,0.9583,0.875,0.875,0.8333,407.2366,516.7215,339.4576,449.3332,390,844,390
66470622f3b36192905de12b,0.7083,0.625,0.4583,0.6667,有效数据,有效数据,2024/5/17 15:24:17,495150,,118791,男,男,18,0,0,0,0,1070.5833,1371.75,1525.9583,981.3333,0.6667,0.4583,0.7083,0.625,471.697,420.265,1044.6212,269.6962,440,980,440
66470667f3b36192905de12c,0.9103,0.797,0.7187,0.7543,有效数据,有效数据,2024/5/17 15:25:24,454231,56892,93551,女,女,19,6,6,3,4,891.0833,940.7917,1137.9583,928.125,0.9583,0.9167,0.9583,0.875,154.2897,234.9242,265.4398,301.8568,400,870,400
66470682f3b36192905de12d,0.851,0.672,0.625,0.614,有效数据,有效数据,2024/5/17 15:25:52,479886,72075,96337,女,男,19,4,0,3,2,774,843.9167,1165.2917,1230.8333,0.75,0.625,0.875,0.75,664.1322,378.33,417.4877,438.3404,1707,1067,1067
664707298bab70a209dcf3b9,0.75,0.625,0.6667,0.3793,有效数据,有效数据,2024/5/17 15:28:37,455171,,97574,女,男,20,6,0,0,0,1507.0417,848.4167,1034.7917,675.3333,0.5833,0.6667,0.75,0.625,509.9617,209.1814,378.4158,358.6736,400,864,400
6647072cec1b45bacaabe80f,0.5473,0.7083,0.7013,0.4627,有效数据,有效数据,2024/5/17 15:28:44,600788,,158574,女,女,20,6,4,0,3,2648.375,1498.8333,1349.25,1110.7917,0.6667,0.8333,0.5833,0.7083,1854.9923,622.1029,359.8675,237.67,400,883,400
664707458bab70a209dcf3ba,0.5713,0.849,0.6007,0.4627,有效数据,有效数据,2024/5/17 15:29:09,466020,70141,108530,男,女,19,6,2,1,1,1347.6667,1179.3333,993.4583,1001.625,0.6667,0.6667,0.5833,0.875,397.9188,564.3707,267.2553,231.3707,400,894,400
664707652bf8472eb709f530,0.6667,0.5053,0.5937,0.7543,有效数据,有效数据,2024/5/17 15:29:39,410992,54139,82462,女,女,20,6,6,3,0,974.7083,883.875,594.25,983.0833,0.9583,0.7917,0.6667,0.5833,295.5376,187.98,251.27,484.3647,428,926,428
6647077b8bab70a209dcf3bb,0.5417,0.5157,0.375,0.4397,有效数据,有效数据,2024/5/17 15:30:02,459429,53593,89032,女,男,19,3,0,1,0,905.375,920.5,807.25,1076.5417,0.5417,0.375,0.5417,0.5417,152.2903,295.955,80.1728,193.3098,400,885,400
